0.5,0.2504,0.53,0.2541
0.34,0.2544,0.5,0.252
0.38,0.2503,0.69,0.2488
0.44,0.2596,0.44,0.2585
0.41,0.2555,0.38,0.2554
0.53,0.2456,0.38,0.2603
0.56,0.238,0.53,0.2572
0.53,0.2541,0.56,0.2472
0.62,0.2495,0.66,0.2264
0.47,0.237,0.56,0.2377
0.69,0.2336,0.62,0.235
0.47,0.2493,0.62,0.2453
0.56,0.2558,0.53,0.25
0.59,0.2658,0.5,0.2459
0.47,0.2435,0.47,0.251
0.56,0.2416,0.59,0.2197
0.59,0.2381,0.62,0.2244
0.53,0.264,0.5,0.2711
0.59,0.2267,0.56,0.2445
0.34,0.2623,0.44,0.2568
0.69,0.2464,0.69,0.2211
0.53,0.2674,0.56,0.2435
0.5,0.2289,0.62,0.2394
0.66,0.2238,0.69,0.2242
0.62,0.2409,0.69,0.2295
0.53,0.2518,0.69,0.2012
0.72,0.1982,0.47,0.2811
0.5,0.2778,0.44,0.2709
0.47,0.2512,0.53,0.2491
0.62,0.2365,0.78,0.1912
0.59,0.2426,0.59,0.2224
0.44,0.2905,0.62,0.2174
0.78,0.2117,0.62,0.236
0.62,0.1988,0.56,0.2165
0.5,0.2761,0.62,0.24
0.81,0.2017,0.72,0.223
0.72,0.1916,0.56,0.249
0.5,0.2402,0.5,0.2382
0.62,0.2195,0.59,0.2327
0.72,0.2011,0.81,0.1932
0.62,0.2171,0.66,0.1821
0.62,0.2369,0.69,0.2219
0.47,0.304,0.56,0.2531
0.72,0.2047,0.75,0.1993
0.56,0.27,0.75,0.1973
0.69,0.2243,0.59,0.2393
0.59,0.2116,0.53,0.2355
0.5,0.2504,0.72,0.2123
0.66,0.1935,0.59,0.2079
0.81,0.179,0.72,0.172
0.72,0.1889,0.53,0.2656
0.53,0.2615,0.53,0.2493
0.59,0.2238,0.62,0.2388
0.56,0.2399,0.66,0.1763
0.75,0.2114,0.75,0.2159
0.69,0.1825,0.5,0.2733
0.56,0.2285,0.62,0.2193
0.72,0.171,0.56,0.2619
0.75,0.1952,0.78,0.1933
0.72,0.2145,0.75,0.184
0.56,0.2695,0.66,0.2527
0.66,0.2161,0.59,0.2005
0.66,0.2516,0.75,0.1829
0.72,0.1973,0.62,0.2253
0.53,0.2359,0.69,0.2203
0.75,0.181,0.75,0.1779
